experimenter,location,study_name,SID,age_group,Order #,1: correct answer,1: child's answer,1 (ambiguous),2: correct answer,2: child's answer,2 (inference),3: correct answer,3: child's answer,3 (ambiguous),4: correct answer,4: child's answer,4 (inference),5: correct answer,5: child's answer,5 (ambiguous),6: correct answer,6: child's answer,6 (inference),7: correct answer,7: child's answer,7 (ambiguous),8: correct answer,8: child's answer,8 (inference),Notes
Janelle Klaas,CDM,INFO_NOWORD,2014_6_6_39,3.7,1,right,left,FALSE,right,left,FALSE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,left,FALSE,left,left,TRUE,
Janelle Klaas,CDM,INFO_NOWORD,2014_6_6_40,3.6,1,right,right,TRUE,right,right,TRUE,left,right,FALSE,right,left,FALSE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_6_6_41,4.1,1,right,right,TRUE,right,right,TRUE,left,left,TRUE,right,left,FALSE,left,left,TRUE,left,right,FALSE,right,right,TRUE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_6_6_42,3.9,1,right,right,TRUE,right,right,TRUE,left,right,FALSE,right,left,FALSE,left,left,TRUE,left,right,FALSE,right,right,TRUE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_6_6_43,3.6,1,right,right,TRUE,right,right,TRUE,left,left,TRUE,right,left,FALSE,left,right,FALSE,left,left,TRUE,right,left,FALSE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_6_11_44,3.8,1,right,left,FALSE,right,left,FALSE,left,right,FALSE,right,left,FALSE,left,right,FALSE,left,left,TRUE,right,left,FALSE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_6_11_45,4.4,1,right,left,FALSE,right,right,TRUE,left,left,TRUE,right,right,TRUE,left,right,FALSE,left,right,FALSE,right,left,FALSE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_6_11_47,4.4,1,right,left,FALSE,right,left,FALSE,left,left,TRUE,right,left,FALSE,left,right,FALSE,left,left,TRUE,right,right,TRUE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_6_11_48,4.4,1,right,left,FALSE,right,right,TRUE,left,left,TRUE,right,left,FALSE,left,right,FALSE,left,left,TRUE,right,right,TRUE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_6_12_49,4.9,1,right,right,TRUE,right,right,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,right,FALSE,right,right,TRUE,left,left,TRUE,
Janelle Klaas,CDM,INFO_NOWORD,2014_6_12_50,4.1,1,right,left,FALSE,right,left,FALSE,left,left,TRUE,right,right,TRUE,left,right,FALSE,left,right,FALSE,right,right,TRUE,left,left,TRUE,
